timestamp,src_ip,src_port,dst_ip,dst_port,index,idx,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,lnum_compromised,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count,srv_count,same_srv_rate,diff_srv_rate,long_same_src_port_rate,srv_long_diff_host_rate,serror_rate,srv_serror_rate,long_rerror_rate,srv_long_rerror_rate
1605349813.981695000,192.168.43.31,50573,45.40.58.195,50002,45040058195,1,0,udp,Unassigned,SF,77652,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.0,0,1.0,0,0.0,0.0,0.0,0.0
1605349813.973732000,192.168.43.31,53676,213.179.210.228,50008,213179210228,2,0,udp,Unassigned,SF,9166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,0,1.0,0,0.0,0.0,0.0,0.0
1605349813.807197000,162.159.130.234,443,192.168.43.31,47890,192168043031,3,0,tcp,Unassigned,OTH,426,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0,1.0,0,0.0,0.0,0.0,0.0
